,0.1,0.25,0.5
eil51,0.56(0.05),0.89(0.03),0.65(0.03)
rat195,0.63(0.04),0.86(0.02),0.65(0.03)
berlin52,0.92(0.01),0.57(0.05),0.59(0.05)
gil262,0.89(0.03),0.55(0.05),0.66(0.04)
pr136,0.61(0.04),0.56(0.05),0.27(0.01)
lin318,0.67(0.03),0.59(0.04),0.32(0.01)
pr226,0.66(0.01),0.88(0.02),0.84(0.03)
pr439,0.68(0.02),0.89(0.02),0.84(0.02)
d198,0.87(0.02),0.58(0.03),0.76(0.02)
fl417,0.75(0.02),0.47(0.04),0.76(0.04)
