,value,error
alpha,0.18503797670261257,0.005773445553779512
beta,0.3026887387214929,0.0068271325972591185
w_pers_best,0.10821824956197788,0.003648963763332609
w_pers_prev,0.11494569405569222,0.004096682063210092
w_parent_best,0.13219322556428054,0.0048906270152243485
detection_threshold,0.1316600435540604,0.005210027993794393
reaction_type,0.025256071839883553,0.0023011990335138335
