,alpha,beta,w_pers_best,w_pers_prev,w_parent_best,detection_threshold
0.0,1.0,4.0,0.0017540098159148,0.0013058587343205,0.0243455716583838,0.1000586776952464
0.25,1.0,8.0,0.10820985322804134,0.0982650186608865,0.39772659356367485,0.2031240397284998
0.5,2.0,9.0,0.3668190220597013,0.35038694215331323,0.666735344822367,0.30754351299901894
0.75,2.0,10.0,0.8207074858781983,0.6620793002334411,0.8737596272590923,0.42612816877235665
1.0,5.0,10.0,0.9838055744003416,0.9823508170176072,0.989433046328721,0.4965211978807402
